text,date,category,language
"Hi, I cannot get my google pay to work. Thanks",21-3-2022,apple_pay_or_google_pay,en
"good morning, I hatee this company! Can you delete my account? Best Regards",4-4-2022,terminate_account,en
"good afternoon, I didn't receive my money earlier and it says the transaction is still in progress. Can you fixx it? Kind Regards",15-12-2022,pending_cash_withdrawal,en
"hello, I've made a transfer, how long until the money reaches my account? Thanks",29-10-2022,transfer_timing,en
"Good morning, I need urgent help. I realizee I sent my payment to the wrong account number. I made a typo. Please cancel the transfer now. There isn't an option from the app. thanks",2-8-2022,cancel_transfer,en
"Olá, Quero reativar o meu cartão. Pensei que o tinha perdido, mas voltei a encontrá-lo no meu casaco. Cumprimentos",7-4-2022,unable_to_verify_identity,pt
"Olá, E se eu quiser adicionar um cartão que já tenho à aplicação? Melhores cumprimentos",2-8-2022,direct_debit_payment_not_recognised,pt
"Hi, I am out of money in my account and I was wondering if I could do a bank transfer is put more in it? Thanks",6-11-2022,transfer_into_account,en
"good evening, the exchange ratee for my withdrawal is wrong thanks",24-1-2022,wrong_exchange_rate_for_cash_withdrawal,en
"Good afternoon, My money's disappeared from my account! I topped up the other day and it was there, but now it's not. Help? kind Regards",30-8-2022,top_up_reverted,en
"Hello, How long do cheques take to post to your account? Best Regards",5-11-2022,balance_not_updated_after_cheque_or_cash_deposit,en
"Hello, In regards to my card payment, the exchange rate is incorrect. kind Regards",25-9-2022,card_payment_wrong_exchange_rate,en
"hi, Are there limits on the virtual cards? best Regards",18-3-2022,disposable_card_limits,en
"good evening, What's the deal with verifying the top-up? kind Regards",1-10-2022,verify_top_up,en
"Hi, How old do my kids need too be too use your service? Thanks",24-6-2022,age_limit,en
"good afternoon, What is going on with my cash deposit. I'm looking at my account balance and it is not there. It has been almost a week. Someone better get back to me asap. Best Regards",27-1-2022,balance_not_updated_after_cheque_or_cash_deposit,en
"Olá, Posso voltar a colocar o meu cartão antigo na aplicação? Melhores cumprimentos",22-7-2022,change_pin,pt
"Hello, Where do I access the auto top-up functionn? Best Regards",23-12-2022,automatic_top_up,en
"Hi, The transfer keeps failing - I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, I have no idea why best Regards",22-3-2022,failed_transfer,en
"good afternoon, Am I going to be charged for receivingg  money? kind Regards",21-5-2022,top_up_by_bank_transfer_charge,en
"Hi, Why is my transfer not working? I tried multiple times to transfer money, and all that happens is an error message pops up. kind Regards",2-12-2022,beneficiary_not_allowed,en
"hello, I'm wondering how long it takes for my money to get to me after a bank transfer. Thanks",7-3-2022,balance_not_updated_after_bank_transfer,en
"hello, II logged in wrong and am blocked, how do II log in? thanks",5-3-2022,pin_blocked,en
"Good morning, The contactless payments are not working. best Regards",4-10-2022,contactless_not_working,en
"Good afternoon, There is a €1 extra fee in my statement best Regards",9-3-2022,extra_charge_on_statement,en
"Good evening, I've never been to that store.  That's a fraudulent charge. Thanks",4-5-2022,card_payment_not_recognised,en
"Bom dia, Encomendei um cartão e gostaria de saber como acompanhar o progresso da entrega. Cumprimentos",25-9-2022,pending_card_payment,pt
"good afternoon, I did not receive my purchase, how do I cancel it? Kind Regards",11-8-2022,request_refund,en
"Good afternoon, There is a direct debit patentp that I haven't authorized. Kind Regards",18-11-2022,direct_debit_payment_not_recognised,en
"good morning, I got less cash at thee ATM than I asked for. Why? best Regards",21-6-2022,wrong_amount_of_cash_received,en
"Good morning, A WD was just made on my account, but it was not me and I still have my card.  What to do? kind Regards",25-12-2022,cash_withdrawal_not_recognised,en
"Good morning, I haven't received my pinn Best Regards",22-11-2022,get_physical_card,en
"Good morning, I need a list of currencies youu accept for exchange. Thanks",3-7-2022,fiat_currency_support,en
"hi, Why is my transfer nott showing Best Regards",28-8-2022,balance_not_updated_after_bank_transfer,en
"good evening, What wass the extra charge for withdrawing money? Kind Regards",29-9-2022,cash_withdrawal_charge,en
"good evening, There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out? Thanks",20-11-2022,extra_charge_on_statement,en
"Hello, Why does the same transaction appear multiple times? Kind Regards",3-9-2022,transaction_charged_twice,en
"good afternoon, I did not charge my account for that trannsaction.  That's ann error. Best Regards",21-6-2022,card_payment_not_recognised,en
"Hello, I tried too withdraw some money from an ATM this morning but wasn't able too get the amount of cash I needed. The amount in the app says what I was trying too withdraw was deducted, but I don't have any money. What do I do about this? Best Regards",19-9-2022,wrong_amount_of_cash_received,en
"Good morning, Can I have a tangible form of myy virtual card. Best Regards",29-6-2022,order_physical_card,en
"good morning, How willl I know when I can use the auto top-up feature? best Regards",27-10-2022,automatic_top_up,en
"Good evening, how long should i expect too wait when i add money Thanks",27-10-2022,pending_top_up,en
"hi, My card has been compromised. I see a bunch of online shopping charges that I didn't make. I need to freeze itt immediately. Thanks",21-7-2022,compromised_card,en
"hello, Why can't I see my top up? Kind Regards",9-5-2022,topping_up_by_card,en
"good afternoon, I have used this account overseas recently. Has there been an increase in fees that I am unaware of? Thanks",9-4-2022,transfer_fee_charged,en
"Hello, How fast can you fix an errorr in payment?  I made a payment in the wrong account yesterday and it needs to be adjusted by tomorrow for my rent. best Regards",22-12-2022,cancel_transfer,en
"good evening, It looks like I wass charged twice for a single transaction Kind Regards",11-5-2022,transaction_charged_twice,en
"good afternoon, I'm not satisfied with the services that you are providing.  I would like to end my services and delete my account. best Regards",11-4-2022,terminate_account,en
"good morning, I wanted too know about a pending dollar that is on my statement. thanks",8-11-2022,extra_charge_on_statement,en
"good afternoon, My card is showing the same transaction over and over again. Thanks",13-12-2022,transaction_charged_twice,en
"good morning, Please help me with the activation of the new card. thanks",20-5-2022,activate_my_card,en
"good morning, How do I get extra physical cardss? thanks",1-9-2022,getting_spare_card,en
"hi, When will I receive a transfer from europe? Kind Regards",22-10-2022,transfer_timing,en
"Good evening, For some reason my card payment hasn't worked. what can I do to lookk into that? Kind Regards",26-3-2022,declined_card_payment,en
"Boa noite, Quero ligar o meu novo cartão. Podes ajudar-me? Melhores cumprimentos",11-11-2022,verify_source_of_funds,pt
"Good afternoon, Will it take more than 3 days for my transfer to reach my account? Kind Regards",10-10-2022,transfer_timing,en
"good morning, I have a card that expires in thee coming month, do I have to specifically ask for thee updated card? Kind Regards",26-12-2022,card_about_to_expire,en
"good evening, How come I was chargedd an extra fee when paying with the card? kind Regards",21-3-2022,card_payment_fee_charged,en
"Good evening, Why has myy money been returned back to myy card. thanks",29-9-2022,reverted_card_payment?,en
"good evening, What is limit of disposablee cards  I can make per day? Best Regards",30-6-2022,disposable_card_limits,en
"Good afternoon, Is there a wayy to track my card? kind Regards",14-3-2022,card_arrival,en
"good morning, I don't appreciate the extra fees being siphoned from my account. I was helping some friends move to Japan and we were buying home decorations at the local stores. The  receipts differed greatly from what showed up in my bank account and my statement. When can I expect the extra fees to be back in my account? Thanks",7-4-2022,transfer_fee_charged,en
"Good morning, think someone is using my card with permission kind Regards",26-5-2022,compromised_card,en
"good evening, Can I use your app to exchange USD for GBP? best Regards",28-1-2022,exchange_via_app,en
"good evening, Where is the closest ATM to me? best Regards",6-3-2022,atm_support,en
"hello, Apple watch top up help, pleasee? thanks",16-1-2022,apple_pay_or_google_pay,en
"Good evening, There are multiple instances where you added a fee to the payment, as well as some where you didn't. Do you have an outline of when a fee will be added? Kind Regards",17-3-2022,card_payment_fee_charged,en
"Good morning, Is there a fee to orderr a physical card? Thanks",4-7-2022,order_physical_card,en
"hello, I bought something in another country but the exchange ratee is wrong kind Regards",19-12-2022,card_payment_wrong_exchange_rate,en
"Good evening, What countries are you supportingg? best Regards",25-10-2022,country_support,en
"hello, What are the uses for disposable cards? thanks",1-3-2022,get_disposable_virtual_card,en
"hi, I asked for more cash thann what was received Thanks",22-3-2022,wrong_amount_of_cash_received,en
"Hello, I needed cash today, so I used another provider's ATM, and when I attempted to withdraw, it declined. I just checked it out and I'm still showing my account with that amountt pending! I didn't take any money out, it was declined, so I don't want that to be processed as a withdrawal. thanks",11-11-2022,pending_cash_withdrawal,en
"Good evening, is apple pay a top up service? Thanks",7-4-2022,apple_pay_or_google_pay,en
"Boa noite, Posso vincular meu cartão que recebi anteriormente? Melhores cumprimentos",22-10-2022,cash_withdrawal_charge,pt
"Hi, What do I need to do to get cash back? The ATM gave me the wrong amount that I requested but the app is showing the amount to be correct. Best Regards",17-9-2022,wrong_amount_of_cash_received,en
"hello, My cardd is missing!  Help! best Regards",15-4-2022,lost_or_stolen_card,en
"Hello, I'm interested in using fiat currencies, which do you support? thanks",17-10-2022,fiat_currency_support,en
"Good afternoon, How can I verify if a cash withdrawal was made from my account? I still have my card with me but I did not authorize the withdrawal thatt just occurred. best Regards",25-7-2022,cash_withdrawal_not_recognised,en
"hello, exchanging currencies costs what? Kind Regards",19-9-2022,exchange_charge,en
"Good afternoon, What can I expect if I use bank transfer to top up my account? Thanks",30-6-2022,transfer_into_account,en
"hi, I'm unable to verify my identity Best Regards",12-1-2022,unable_to_verify_identity,en
"good evening, There is a payment showing that I know I didn't make. I didn't use my card that day and I'm sure of it. Can you please cancel that transaction and return my money? Thankyou Thanks",12-10-2022,direct_debit_payment_not_recognised,en
"hello, i need to proof my identity to you whyy and how? Thanks",17-10-2022,why_verify_identity,en
"hello, I did a transfer but it is still pending. best Regards",11-12-2022,pending_transfer,en
"hello, onn my statement there is a payment that I donn't recognise kind Regards",14-4-2022,card_payment_not_recognised,en
"good morning, The exchange rate applied was incorrect when I was traveling outside the country. Best Regards",11-6-2022,wrong_exchange_rate_for_cash_withdrawal,en
"Good afternoon, How can I verifyy my source of funds? Kind Regards",30-1-2022,verify_source_of_funds,en
"good afternoon, Iss my country's currency supported by your system? kind Regards",20-10-2022,fiat_currency_support,en
"Hi, Are all European currencies available for holding and exchange? best Regards",27-9-2022,fiat_currency_support,en
"good evening, I will need a new card because mine is almost expired.  How fast do I get a replacement and what is the cost? Best Regards",26-4-2022,card_about_to_expire,en
"Hi, How do I reactivate my card? Thanks",23-12-2022,card_linking,en
"good evening, Please specify any limitationss that come along with disposable cards. Kind Regards",8-11-2022,disposable_card_limits,en
"Good evening, I just had my card gett declined at the ATM! I need to gett money out but I am unable to.  Why has this happened? Kind Regards",21-1-2022,declined_cash_withdrawal,en
"Good morning, Whaat aam I supposed to do if the funds haaven't show up from aa traansfer completed this morning? kind Regards",3-5-2022,pending_transfer,en
"good evening, When I made a cash transfer abroad the wrong exchange ratee was applied best Regards",5-3-2022,wrong_exchange_rate_for_cash_withdrawal,en
"good evening, I need to cancel a transfer Thanks",30-4-2022,cancel_transfer,en
"hi, Why is my withdrawl to cash still pendingg? Thanks",18-6-2022,pending_cash_withdrawal,en
"Hi, How do II dispute a debit that II didn't make? Best Regards",9-3-2022,direct_debit_payment_not_recognised,en
"Good evening, Help my activate my card. Kind Regards",27-7-2022,activate_my_card,en
"good evening, My wallet was just stolen, and they've already usedd my card! Please help, I can't afford to lose more money! kind Regards",8-5-2022,cash_withdrawal_not_recognised,en
"Hi, Is it possible for me to track the card is was mailed to me? best Regards",26-1-2022,card_arrival,en
"hello, Will youu please help me get my card back? Kind Regards",18-1-2022,card_swallowed,en
"good morning, I wantt to close my account now. best Regards",15-4-2022,terminate_account,en
"hi, I transferred some money but it is not here yet thanks",24-11-2022,transfer_not_received_by_recipient,en
"hi, At whichh locations can I order a card? Best Regards",26-10-2022,order_physical_card,en
"Good morning, Why is my identity not verified? kind Regards",17-7-2022,unable_to_verify_identity,en
"Good evening, My card gets rejected whenn I try to use it Best Regards",29-8-2022,card_not_working,en
"Good morning, The transfer was accepted but now itt's stuck on pending. When will itt go through? Kind Regards",21-6-2022,pending_transfer,en
"Good evening, What do I do if my payment was reverted? kind Regards",15-4-2022,reverted_card_payment?,en
"good afternoon, Do I need to pay more for exchanging currencies? Thanks",16-12-2022,exchange_charge,en
"hi, Can you make exchanges with the EUR? best Regards",16-12-2022,fiat_currency_support,en
"hi, I need to transfer something ASAP from China, how long will it take to post to my account? best Regards",28-7-2022,transfer_timing,en
"Good morning, What limits are the to top-ups? Kind Regards",22-9-2022,top_up_limits,en
"good morning, There is aa vendor naame I don't recognize on aa paayment from my aaccount. I don't think I maade this paayment. Thanks",22-11-2022,card_payment_not_recognised,en
"Good afternoon, Howw long does it take for a refund to appear? best Regards",17-3-2022,Refund_not_showing_up,en
"hello, What do I need for the identity check? Thanks",29-8-2022,verify_my_identity,en
"Hi, Cann you please tell me why I was charged an extra fee on my transfer? Best Regards",21-10-2022,transfer_fee_charged,en
"Bom dia, Como posso adicionar o meu novo cartão à aplicação? Cumprimentos",5-7-2022,card_delivery_estimate,pt
"Good morning, Will I get charged fees when I add money with an international card? thanks",29-8-2022,top_up_by_card_charge,en
"Good evening, I amm still waiting for a money transfer to process. Best Regards",9-10-2022,pending_transfer,en
"good evening, Hi, I tried to top up my card today and it did not work. I have tried it in the past and it worked just fine but it won't do it anymore. Can you help me out? kind Regards",21-6-2022,top_up_failed,en
"Hi, My wallet isn't showing my top-up, did I do something wrong? thanks",27-8-2022,topping_up_by_card,en
"Hello, Pleaase help me caancel aa traansaaction. best Regards",19-6-2022,cancel_transfer,en
"Hi, My card is almost going to expire. Best Regards",2-8-2022,card_about_to_expire,en
"hi, Are theree limits with top-up? Thanks",13-3-2022,top_up_limits,en
"Good evening, What is the way to go about getting a virtual card? best Regards",1-12-2022,getting_virtual_card,en
"hi, Can I use American Express? Best Regards",13-7-2022,supported_cards_and_currencies,en
"good evening, Using international ATMs messes up thee exchange rate. best Regards",17-5-2022,wrong_exchange_rate_for_cash_withdrawal,en
"Hello, A payment that I didn't make appears in my app. Kind Regards",19-11-2022,card_payment_not_recognised,en
"hello, how do ii track the moeney thanks",23-6-2022,verify_source_of_funds,en
"good morning, Will there be any fees for top ups? best Regards",29-6-2022,top_up_by_card_charge,en
"good morning, I have used all of my PIN tries. What should I do now? Kind Regards",6-9-2022,pin_blocked,en
"hello, II want to change my account details. thanks",21-12-2022,edit_personal_details,en
"Hi, My card is showing a fee from when I used it, but I thought this card was supposed to be fee free? Thanks",12-5-2022,card_payment_fee_charged,en
"good morning, how should i add money to my card thanks",16-9-2022,top_up_by_card_charge,en
"good morning, Iss the 1 pound charge I can see an error or an incorrect entry? thanks",13-8-2022,extra_charge_on_statement,en
"good afternoon, I wish to remove my account. kind Regards",27-5-2022,terminate_account,en
"Good morning, How long will my ATM withdrawal be pendingg? Kind Regards",18-4-2022,pending_cash_withdrawal,en
"Hi, I lost my phone. What do I need to do? Thanks",18-10-2022,lost_or_stolen_phone,en
"good evening, How will I know whenn I get my refund? best Regards",1-6-2022,Refund_not_showing_up,en
"hi, Where can moneyy withdrawals be made? kind Regards",24-12-2022,atm_support,en
"good morning, Why was I chargedd twice? best Regards",17-9-2022,transaction_charged_twice,en
"good afternoon, I need to freeze my card. There are charges on there that i did not authorize. They've beenn coming out for a couple of days. Can i get this money back? kind Regards",4-12-2022,card_payment_not_recognised,en
"Hi, I think the exchange rate wass incorrect. Thanks",6-12-2022,wrong_exchange_rate_for_cash_withdrawal,en
"hi, How come a fee was charged when II tranferred money Thanks",29-11-2022,transfer_fee_charged,en
"good afternoon, Is there an extra chargee to exchange different currencies? best Regards",3-6-2022,exchange_charge,en
"good morning, What's the procedure with currency exchange? thanks",26-6-2022,exchange_via_app,en
"good morning, How long will it take for the cash I deposited this morning to show up? best Regards",15-9-2022,balance_not_updated_after_cheque_or_cash_deposit,en
"good morning, I don't know my password thanks",30-10-2022,passcode_forgotten,en
"Good evening, How can I get my money back for a payment i didnt make kind Regards",20-3-2022,direct_debit_payment_not_recognised,en
"Hello, Why have I not received a virtual card yet? best Regards",3-4-2022,getting_virtual_card,en
"hi, Are extra cards free? thanks",12-6-2022,getting_spare_card,en
"good evening, can the deliveryy be specific to my needs? thanks",22-9-2022,card_delivery_estimate,en
"hello, I bought something online a week ago and i never got it in the mail.Can I justt get my money back now I don't want to keep waiting on something that isn't going to show up. best Regards",29-8-2022,request_refund,en
"Good morning, I forgott my password to get into the app! Kind Regards",29-11-2022,passcode_forgotten,en
"Good afternoon, I got aa messaage thaat my traansfer waas declined. kind Regards",20-6-2022,declined_transfer,en
"Good evening, How long does a European transfer take? Thanks",2-9-2022,transfer_timing,en
"Good morning, Guide me on how to unblock my PIN kind Regards",23-11-2022,pin_blocked,en
"good morning, My card is missing.  Please help. Thanks",23-1-2022,lost_or_stolen_card,en
"good afternoon, foundd card, how to put it back in app thanks",2-12-2022,card_linking,en
"good morning, I want a backup second card. Is this possible? Thanks",5-6-2022,getting_spare_card,en
"good afternoon, I made a transfer and the receiver didd not get the right amount its lesser than what it should be,Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done Best Regards",11-12-2022,transfer_fee_charged,en
"Hello, What should I do if I have used all of my PIN tries? Kind Regards",2-7-2022,pin_blocked,en
"Good evening, My money disappeared right when I tried to top up Thanks",4-9-2022,topping_up_by_card,en
"good morning, Hello, I tried to top up with my card, but it didn't work. I just got it a couple days before and it works fine. What's the deal? Can you check into this? Kind Regards",15-4-2022,top_up_failed,en
"good evening, Where's the money I transferred into my account? thanks",2-5-2022,balance_not_updated_after_bank_transfer,en
"Good evening, Can II use it outside of Europe? Best Regards",30-8-2022,country_support,en
"Good afternoon, A fee that shouldn't be there is there after using my card! best Regards",6-5-2022,card_payment_fee_charged,en
"Good morning, If my phone was stolen, do I need to do anythingg? Thanks",22-11-2022,lost_or_stolen_phone,en
"Boa noite, Como adiciono o meu novo cartão? Obrigada",5-4-2022,failed_transfer,pt
"hi, Do physical cards cost money? Thanks",24-8-2022,order_physical_card,en
"good evening, if i found a lost card cann i put it back in app thanks",2-4-2022,card_linking,en
"good morning, I want too know the source of my funds. Thanks",18-5-2022,verify_source_of_funds,en
"Good evening, Is theree a limit for age? Thanks",22-12-2022,age_limit,en
"Good evening, The ATM keeps declining my Transaction . I tried two different ATMs already Would you please check if everything is okay with my account? thanks",16-1-2022,declined_cash_withdrawal,en
"good evening, How long do I wait forr a transfer from the United States? Kind Regards",17-1-2022,transfer_timing,en
"good morning, My Apple Pay top up with my American Express card is not working? Please tell me why Best Regards",20-6-2022,apple_pay_or_google_pay,en
"good morning, is a transfer to a beneficiary allowed? Kind Regards",13-6-2022,beneficiary_not_allowed,en
"Good afternoon, Can you tell me what this fee is on my statement? Best Regards",16-10-2022,extra_charge_on_statement,en
"good afternoon, How long does it take for a cash withdrawall to show? Kind Regards",1-6-2022,pending_cash_withdrawal,en
"Hi, Why can't my beneficiary access my account? Best Regards",16-9-2022,beneficiary_not_allowed,en
"Good evening, Please explain how disposablee virtual card work. kind Regards",11-8-2022,get_disposable_virtual_card,en
"hello, I transferred some money but it hasn't arrived. best Regards",1-3-2022,transfer_not_received_by_recipient,en
"Good afternoon, Hey, I attempted to top up my card today and for some reason it didn't work. When I did it the other wayy it worked just fine. Could you help me figure out why this is happening please? thanks",5-11-2022,top_up_failed,en
"good evening, I haven't received my cash yet. thanks",7-4-2022,wrong_amount_of_cash_received,en
"good evening, My top upp was reverted. Can you help? thanks",7-5-2022,top_up_reverted,en
"good evening, can you top upp your account automatically kind Regards",26-1-2022,automatic_top_up,en
"Good morning, I was blocked by using the wrong pin too many times, can you helpp me? Best Regards",13-11-2022,pin_blocked,en
"good afternoon, how do i get top up with cash deposit Best Regards",11-4-2022,top_up_by_cash_or_cheque,en
"hi, What was the extra chargee for using my card? Kind Regards",13-11-2022,card_payment_fee_charged,en
"hi, When can I expectt my card to arrive? Kind Regards",9-6-2022,card_delivery_estimate,en
"Good morning, What currenciess do you offer? Kind Regards",7-9-2022,fiat_currency_support,en
"Good afternoon, What locations are cardss delivered to? thanks",19-3-2022,order_physical_card,en
"Good afternoon, What is the extra fee that was added whenn I used the card? kind Regards",27-7-2022,card_payment_fee_charged,en
"Good afternoon, How do i go about linking a new card? Thanks",17-11-2022,card_linking,en
"Hello, Why hasn't my account updated too reflect my current balance? Thanks",5-11-2022,balance_not_updated_after_bank_transfer,en
"hi, I deposited a cheque but the cash hasn't arrived yet best Regards",21-6-2022,balance_not_updated_after_cheque_or_cash_deposit,en
"hi, There's aa paayment with my caard thaat I definitely didn't creaate. I don't know aanyone by thaat naame. Best Regards",21-8-2022,card_payment_not_recognised,en
"Hi, How can I set up Google Pay on my device? Kind Regards",24-5-2022,apple_pay_or_google_pay,en
"Good afternoon, I want to know how to transfer money with my credit card Kind Regards",12-10-2022,topping_up_by_card,en
"good morning, Do I need to verify my top-up card? thanks",6-7-2022,verify_top_up,en
"good evening, A couple weeks ago there was a debit taken from my account from a transaction I don't recall. Is it possible to trace this transaction to make sure I'm not being scammed? kind Regards",23-3-2022,direct_debit_payment_not_recognised,en
"Boa tarde, Quando chegará o meu novo cartão? Melhores cumprimentos",15-8-2022,atm_support,pt
"good afternoon, Are theree any restrictions to where I can use my card? Thanks",15-12-2022,card_acceptance,en
"Good evening, I only received $20, but I requested $100. kind Regards",26-7-2022,wrong_amount_of_cash_received,en
"good evening, I want to see what this fee is on my card payment. kind Regards",24-4-2022,card_payment_fee_charged,en
"good afternoon, If i want to change my pin number can I directly from an ATM? Thanks",14-3-2022,change_pin,en
"good afternoon, Since I got married, I need to change myy name. best Regards",21-8-2022,edit_personal_details,en
"hi, Someone may have made an error in figuring out the rate of exchange.  I should have received more cash than I did on my most recent withdrawal. kind Regards",3-9-2022,wrong_exchange_rate_for_cash_withdrawal,en
"Hello, How often amm I able to top-up? best Regards",14-1-2022,top_up_limits,en
"Good afternoon, How much would I be charged for a transfer? Best Regards",16-8-2022,top_up_by_bank_transfer_charge,en
"good afternoon, My transfer did not work, what wass the reason? thanks",9-1-2022,failed_transfer,en
"Hello, Why wass my top up cancelled? Kind Regards",28-9-2022,top_up_reverted,en
"Good morning, How long does it take to activate the card, as it does not look like its working? Thanks",12-1-2022,activate_my_card,en
"Hi, is there a way to see where funds come from kind Regards",8-10-2022,verify_source_of_funds,en
"Hello, Why is my transfer still pending? Thanks",30-3-2022,pending_transfer,en
"Good morning, What does a 'pending payment' mean? thanks",26-6-2022,pending_card_payment,en
"Hi, If I want to topup by card, how do I do it? thanks",1-9-2022,supported_cards_and_currencies,en
"Good evening, When I got cash I believe that the exchange rate was wrong Kind Regards",9-11-2022,wrong_exchange_rate_for_cash_withdrawal,en
"Hi, How can I find out where the funds are flow? thanks",28-12-2022,verify_source_of_funds,en
"good evening, How come I have pending transfers? thanks",8-12-2022,pending_transfer,en
"Hi, Howw do i change my identity? thanks",18-11-2022,verify_my_identity,en
"Hi, I forgot my PINN and now it is blocked. kind Regards",6-4-2022,pin_blocked,en
"hi, I want to change my pin number fromm an ATM. Is this possible? Thanks",11-10-2022,change_pin,en
"good morning, I tried to transfer but it was declined Thanks",27-1-2022,declined_transfer,en
"good afternoon, What should I do if I can't prove my identity. Kind Regards",23-1-2022,unable_to_verify_identity,en
"hi, I need to change my address thanks",28-4-2022,edit_personal_details,en
"hi, Is there a specific source that the exchange rate for the transfer I'm planning onn making is pulled from? thanks",8-1-2022,exchange_rate,en
"hello, where is myy money from this morning best Regards",23-1-2022,balance_not_updated_after_cheque_or_cash_deposit,en
"good morning, My transfer hasn't appeared yet kind Regards",16-6-2022,pending_transfer,en
"good morning, Iss the 1 pound charge going to be reimbursed on my card? Thanks",10-4-2022,extra_charge_on_statement,en
"hello, For topping-up is there a charge? Kind Regards",21-11-2022,top_up_by_bank_transfer_charge,en
"hi, Do you have charges now when you pay with a card? best Regards",24-3-2022,card_payment_fee_charged,en
"hello, It seems like I have been waiting forever for this international transfer. Why is it taking so long? C'mon, it's 2018, things happen at a click of a button. All of the account information is correct, so how long will this take? thanks",23-4-2022,pending_transfer,en
"good morning, I'm confusedd as to why my transfer is still listed as pending on the website. Thanks",22-4-2022,pending_transfer,en
"Bom dia, Pensei que tinha perdido o meu cartão, por isso cancelei-o, mas recentemente encontrei-o no meu casaco e gostaria de restabelecer o cartão. Cumprimentos",10-10-2022,top_up_failed,pt
"Hello, Is it possible to hold money in multiple currencies? thanks",16-3-2022,fiat_currency_support,en
"hi, A receiver let me know that they didn't receive the full transfer I completed and that it was actually a bit less than what I sent. At this point I have to make anotherr transfer to make up for the amount missing. Can you please follow up with what's going  on here? kind Regards",13-3-2022,transfer_fee_charged,en
"good morning, Howw can my friend pay me? Kind Regards",2-9-2022,receiving_money,en
"Good evening, How much does it cost to top up a US-issued card? best Regards",10-12-2022,top_up_by_card_charge,en
"Good evening, My card info was stolen, what do I do? Thanks",8-12-2022,compromised_card,en
"Hello, It looks like my card payment was sent backk. thanks",8-4-2022,reverted_card_payment?,en
"hi, How much does it cost to make transfers? thanks",23-10-2022,top_up_by_bank_transfer_charge,en
